bike_id,user_type,member_birth_year,member_gender
2124,Subscriber,1992.0,Male
71,Subscriber,1993.0,Male
3054,Subscriber,1988.0,Male
117,Subscriber,1988.0,Female
3272,Subscriber,1988.0,Male
842,Subscriber,1990.0,Male
1820,Subscriber,1963.0,Male
3256,Subscriber,1992.0,Male
689,Subscriber,1976.0,Male
3561,Subscriber,1990.0,Male
456,Subscriber,1971.0,Male
2391,Subscriber,1988.0,Male
2251,Subscriber,1945.0,Male
1689,Subscriber,1997.0,Other
482,Subscriber,1977.0,Female
3250,Subscriber,1960.0,Male
238,Subscriber,1975.0,Male
361,Subscriber,1992.0,Female
2916,Subscriber,1991.0,Male
143,Subscriber,1976.0,Male
2135,Customer,,
3420,Customer,1995.0,Female
1024,Customer,1995.0,Female
2261,Customer,1984.0,Male
1066,Subscriber,1992.0,Male
2937,Subscriber,1978.0,Male
1442,Subscriber,1992.0,Male
2228,Subscriber,1993.0,Male
3108,Subscriber,1975.0,Female
160,Subscriber,1971.0,Female
1673,Subscriber,1965.0,Male
2120,Customer,1990.0,Male
3673,Subscriber,1990.0,Male
595,Subscriber,1990.0,Female
472,Subscriber,1987.0,Male
961,Subscriber,1997.0,Male
484,Subscriber,1993.0,Male
40,Subscriber,1980.0,Male
2497,Subscriber,1989.0,Male
3535,Customer,1978.0,Male
1853,Subscriber,1979.0,Female
3498,Subscriber,1981.0,Male
1114,Subscriber,1980.0,Male
1700,Subscriber,1974.0,Male
1268,Subscriber,1992.0,Female
1250,Subscriber,1992.0,Male
303,Subscriber,1989.0,Male
2468,Customer,1986.0,Female
271,Subscriber,1989.0,Male
3161,Subscriber,1993.0,Male
2244,Subscriber,1996.0,Male
668,Subscriber,1987.0,Male
3413,Subscriber,1992.0,Male
1098,Subscriber,1997.0,Male
3446,Subscriber,1984.0,Male
1544,Subscriber,1982.0,Male
2100,Subscriber,1982.0,Male
3523,Subscriber,1984.0,Male
3186,Customer,1988.0,Male
3429,Subscriber,1996.0,Male
1269,Customer,1990.0,Male
2306,Subscriber,1980.0,Female
417,Customer,1994.0,Female
3527,Subscriber,1995.0,Male
2743,Subscriber,1994.0,Male
935,Subscriber,1993.0,Male
3437,Subscriber,1979.0,Male
3382,Customer,1988.0,Male
2178,Customer,1980.0,Male
112,Subscriber,1973.0,Male
1713,Subscriber,1990.0,Male
759,Subscriber,1995.0,Male
1386,Subscriber,1990.0,Male
2458,Subscriber,1988.0,Male
3240,Customer,1992.0,Male
113,Subscriber,1995.0,Female
2216,Subscriber,1984.0,Male
3086,Subscriber,1988.0,Male
665,Subscriber,1994.0,Male
3447,Subscriber,1988.0,Male
3550,Subscriber,1972.0,Female
1595,Subscriber,1970.0,Male
3320,Subscriber,1991.0,Male
2824,Subscriber,1984.0,Female
3579,Subscriber,1998.0,Male
545,Subscriber,1984.0,Female
892,Subscriber,1997.0,Male
1206,Subscriber,1951.0,Male
4025,Subscriber,1993.0,Male
2612,Subscriber,1989.0,Male
2483,Subscriber,1990.0,Male
849,Subscriber,1983.0,Male
2463,Subscriber,1985.0,Male
3409,Customer,1995.0,Female
2356,Subscriber,1992.0,Male
1213,Subscriber,1980.0,Female
1830,Subscriber,1980.0,Male
252,Subscriber,1992.0,Male
2471,Subscriber,1994.0,Female
983,Subscriber,1990.0,Female
1014,Subscriber,1992.0,Male
2309,Subscriber,1993.0,Male
2828,Subscriber,1992.0,Male
3492,Subscriber,1983.0,Male
2498,Subscriber,1985.0,Male
2099,Subscriber,1976.0,Male
1080,Subscriber,1989.0,Male
3300,Subscriber,1984.0,Male
2771,Customer,1994.0,Female
2209,Customer,1990.0,Male
3604,Subscriber,1982.0,Male
2196,Subscriber,1976.0,Female
1549,Subscriber,1969.0,Male
474,Subscriber,1990.0,Female
2857,Customer,1982.0,Male
395,Subscriber,1995.0,Female
3222,Customer,1982.0,Male
61,Customer,1982.0,Male
881,Subscriber,1992.0,Female
552,Subscriber,1991.0,Male
3584,Subscriber,1964.0,Male
962,Subscriber,1994.0,Male
1039,Subscriber,1995.0,Female
1293,Subscriber,1992.0,Female
3249,Subscriber,1986.0,Male
3130,Subscriber,1991.0,Male
2036,Subscriber,1996.0,Male
3708,Customer,1995.0,Female
2332,Subscriber,1992.0,Male
4035,Subscriber,1991.0,Male
1748,Subscriber,1995.0,Male
3246,Subscriber,1989.0,Male
3894,Subscriber,1990.0,Male
1921,Subscriber,1992.0,Male
2849,Subscriber,1978.0,Male
1706,Subscriber,1967.0,Male
2706,Subscriber,1990.0,Other
1804,Customer,1984.0,Female
3880,Subscriber,1995.0,Male
469,Subscriber,1974.0,Male
389,Subscriber,1977.0,Female
2206,Subscriber,1963.0,Male
518,Subscriber,1990.0,Male
3183,Customer,1999.0,Male
3750,Subscriber,1989.0,Male
766,Subscriber,1975.0,Male
1249,Subscriber,1985.0,Male
3192,Subscriber,1992.0,Female
1214,Subscriber,1982.0,Female
2826,Subscriber,1979.0,Male
3648,Subscriber,1981.0,Female
1087,Subscriber,1971.0,Male
543,Subscriber,1993.0,Female
1151,Subscriber,1998.0,Female
1074,Subscriber,1990.0,Male
1129,Subscriber,1986.0,Male
2105,Subscriber,1996.0,Male
3026,Subscriber,1968.0,Male
1457,Subscriber,1992.0,Male
2627,Customer,1988.0,Male
2570,Customer,1988.0,Male
2194,Customer,1973.0,Male
2946,Customer,1986.0,Male
3326,Subscriber,1988.0,Female
3196,Subscriber,1995.0,Male
3796,Subscriber,1996.0,Male
4031,Subscriber,1996.0,Male
491,Subscriber,1981.0,Male
1526,Subscriber,1981.0,Male
3632,Subscriber,1994.0,Male
1415,Subscriber,1994.0,Male
2542,Subscriber,1966.0,Male
2599,Subscriber,1991.0,Male
1079,Subscriber,1993.0,Male
577,Subscriber,1985.0,Male
2291,Customer,1992.0,Male
1005,Subscriber,1976.0,Male
2834,Customer,,
3824,Subscriber,1993.0,Male
3931,Subscriber,1995.0,Male
2282,Subscriber,1992.0,Male
2131,Subscriber,1977.0,Male
1205,Subscriber,1982.0,Male
624,Subscriber,1965.0,Male
3727,Subscriber,1993.0,Female
3635,Subscriber,1959.0,Male
2742,Subscriber,1990.0,Male
275,Customer,1968.0,Male
3851,Subscriber,1993.0,Male
850,Subscriber,1991.0,Male
2397,Subscriber,1990.0,Male
3723,Subscriber,1995.0,Male
3502,Customer,1972.0,Male
3007,Subscriber,1981.0,Male
3386,Subscriber,1994.0,Male
3704,Subscriber,1987.0,Male
1515,Subscriber,,
3110,Subscriber,1964.0,Male
3443,Subscriber,1988.0,Female
3080,Customer,,
915,Subscriber,1990.0,Male
3022,Subscriber,1986.0,Female
1980,Subscriber,1983.0,Female
2425,Subscriber,1995.0,Male
549,Customer,1993.0,Female
2103,Customer,1995.0,Female
2002,Subscriber,1994.0,Male
2966,Subscriber,1987.0,Female
1154,Subscriber,1983.0,Male
934,Subscriber,1991.0,Female
1537,Subscriber,1992.0,Male
3645,Subscriber,1989.0,Male
420,Customer,1988.0,Male
1759,Subscriber,1991.0,Male
2317,Customer,1995.0,Male
770,Subscriber,1968.0,Female
1742,Subscriber,1988.0,Male
2030,Subscriber,1987.0,Male
1149,Subscriber,1992.0,Female
3381,Subscriber,1980.0,Male
501,Subscriber,1978.0,Male
3504,Subscriber,1997.0,Female
2838,Customer,1998.0,Male
1646,Subscriber,1995.0,Male
2182,Subscriber,1988.0,Female
592,Subscriber,1993.0,Male
1965,Subscriber,1991.0,Male
3328,Subscriber,1988.0,Male
1744,Subscriber,1960.0,Male
1543,Customer,1988.0,Female
1504,Subscriber,1975.0,Male
1055,Customer,1988.0,Female
2191,Subscriber,1970.0,Male
3732,Subscriber,1991.0,Male
1584,Subscriber,1988.0,Female
2820,Subscriber,1995.0,Male
1150,Subscriber,1980.0,Male
587,Subscriber,1998.0,Male
804,Subscriber,1977.0,Female
519,Customer,1997.0,Male
2879,Customer,1997.0,Male
2429,Subscriber,1990.0,Male
47,Subscriber,1966.0,Male
2864,Subscriber,1994.0,Male
3933,Subscriber,1983.0,Female
3059,Subscriber,1992.0,Female
2779,Subscriber,1996.0,Female
2727,Subscriber,1997.0,Male
3012,Subscriber,1977.0,Female
1536,Subscriber,1989.0,Female
225,Subscriber,1992.0,Male
604,Subscriber,1954.0,Male
3302,Subscriber,1986.0,Male
908,Subscriber,1976.0,Male
462,Subscriber,1990.0,Male
129,Customer,1996.0,Male
851,Subscriber,1982.0,Male
1901,Customer,1980.0,Male
368,Subscriber,1984.0,Male
3555,Subscriber,1950.0,Male
1182,Customer,1992.0,Male
2466,Subscriber,1995.0,Male
724,Subscriber,1989.0,Male
3472,Subscriber,1985.0,Female
2389,Subscriber,1985.0,Male
3159,Subscriber,1990.0,Male
57,Subscriber,1992.0,Female
429,Subscriber,1992.0,Male
3352,Customer,1991.0,Female
323,Customer,1991.0,Female
3366,Subscriber,1994.0,Male
1770,Subscriber,1989.0,Male
2884,Subscriber,1984.0,Male
2453,Customer,1987.0,Male
1092,Subscriber,1991.0,Male
1019,Subscriber,1987.0,Male
783,Subscriber,1992.0,Male
1274,Subscriber,1976.0,Male
1891,Subscriber,1982.0,Male
2810,Subscriber,1981.0,Female
3955,Subscriber,1991.0,Female
4030,Subscriber,1993.0,Male
3986,Subscriber,1994.0,Male
2991,Subscriber,1990.0,Female
1931,Subscriber,1989.0,Male
2692,Customer,1994.0,Male
152,Customer,1985.0,Male
570,Subscriber,1987.0,Female
3345,Customer,,
3509,Subscriber,1989.0,Male
3474,Subscriber,1991.0,Female
2439,Subscriber,1997.0,Female
2215,Subscriber,1998.0,Male
385,Subscriber,1993.0,Male
1449,Subscriber,1983.0,Male
1812,Subscriber,,
3016,Subscriber,1995.0,Other
2919,Subscriber,1961.0,Male
3284,Subscriber,1985.0,Male
2143,Subscriber,1982.0,Male
1270,Subscriber,1987.0,Male
2758,Subscriber,1991.0,Male
1236,Subscriber,1968.0,Male
2760,Subscriber,1998.0,Male
1574,Subscriber,1994.0,Female
3093,Subscriber,1990.0,Male
415,Subscriber,1988.0,Male
1997,Subscriber,1993.0,Male
2409,Subscriber,1984.0,Male
3013,Customer,1997.0,Male
2597,Subscriber,1982.0,Male
530,Subscriber,1989.0,Male
1010,Customer,1995.0,Male
1246,Subscriber,1990.0,Male
1765,Customer,1989.0,Male
2315,Customer,1984.0,Male
316,Subscriber,1992.0,Male
1497,Customer,1996.0,Male
1476,Subscriber,,
1298,Subscriber,1980.0,Male
845,Subscriber,1989.0,Male
1984,Subscriber,1974.0,Male
1500,Subscriber,1985.0,Male
1436,Subscriber,1987.0,Male
3377,Subscriber,1995.0,Female
2723,Subscriber,1987.0,Male
1882,Subscriber,1962.0,Male
3068,Subscriber,1985.0,Male
3661,Subscriber,1993.0,Male
896,Subscriber,1987.0,Female
3512,Subscriber,1985.0,Male
1533,Subscriber,1984.0,Female
4226,Subscriber,1974.0,Male
3062,Subscriber,1993.0,Female
922,Subscriber,1988.0,Male
2695,Subscriber,1995.0,Male
3048,Customer,,
861,Subscriber,1959.0,Male
901,Customer,1997.0,Male
1109,Subscriber,1962.0,Female
3111,Subscriber,1995.0,Female
3385,Subscriber,1992.0,Male
2405,Subscriber,1993.0,Female
524,Subscriber,1988.0,Male
3355,Subscriber,1966.0,Male
3501,Subscriber,1989.0,Female
179,Subscriber,1979.0,Female
2889,Subscriber,1983.0,Female
3040,Subscriber,1990.0,Male
3165,Customer,,
906,Subscriber,1998.0,Male
3334,Subscriber,1983.0,Male
410,Subscriber,1995.0,Male
168,Customer,1983.0,Male
2080,Customer,1964.0,Female
2238,Customer,1964.0,Female
2231,Subscriber,1989.0,Male
3515,Subscriber,1985.0,Male
631,Subscriber,1971.0,Male
2646,Subscriber,1963.0,Male
2819,Subscriber,1999.0,Male
633,Customer,,
2822,Subscriber,1978.0,Male
2055,Subscriber,1995.0,Male
2435,Subscriber,,
3589,Customer,1978.0,Male
3312,Subscriber,1980.0,Male
3137,Subscriber,1995.0,Male
1523,Customer,1993.0,Male
1421,Subscriber,1996.0,Male
74,Subscriber,1978.0,Male
2071,Subscriber,1968.0,Male
978,Subscriber,1995.0,Male
3658,Subscriber,1981.0,Female
38,Subscriber,1981.0,Female
2346,Customer,1991.0,Male
968,Subscriber,1992.0,Male
114,Subscriber,1995.0,Male
1743,Subscriber,1950.0,Male
3066,Subscriber,1997.0,Male
1986,Subscriber,1988.0,Male
1088,Subscriber,1984.0,Male
416,Subscriber,1990.0,Male
471,Subscriber,1977.0,Female
2287,Subscriber,1995.0,Male
2459,Subscriber,1988.0,Male
1659,Subscriber,1973.0,Female
1867,Subscriber,1986.0,Male
776,Subscriber,1994.0,Male
1159,Subscriber,1960.0,Male
1296,Customer,1970.0,Male
2567,Subscriber,1974.0,Male
1972,Subscriber,1992.0,Female
371,Subscriber,1972.0,Male
1473,Customer,1988.0,Male
2085,Subscriber,1989.0,Male
127,Subscriber,1994.0,Female
1118,Subscriber,1996.0,Female
711,Subscriber,1987.0,Male
485,Subscriber,1993.0,Male
980,Subscriber,1993.0,Male
1850,Subscriber,1990.0,Male
2045,Subscriber,1994.0,Male
514,Subscriber,1992.0,Male
1903,Subscriber,1980.0,Male
3580,Subscriber,1995.0,Male
2875,Subscriber,1986.0,Female
3253,Subscriber,1985.0,Male
2883,Subscriber,1968.0,Female
565,Subscriber,1977.0,Female
844,Customer,1964.0,Female
3051,Subscriber,,
137,Subscriber,1997.0,Male
1380,Customer,1983.0,Female
3365,Subscriber,1998.0,Female
1479,Customer,1987.0,Female
355,Subscriber,1989.0,Female
1370,Subscriber,1977.0,Male
1669,Subscriber,1991.0,Male
1898,Subscriber,1979.0,Female
1349,Subscriber,1988.0,Female
760,Subscriber,1977.0,Male
1410,Subscriber,1973.0,Male
2461,Subscriber,1993.0,Male
413,Customer,,
1996,Subscriber,1994.0,Male
3316,Subscriber,1985.0,Other
2761,Subscriber,1992.0,Male
789,Subscriber,1991.0,Female
3374,Subscriber,1990.0,Male
4227,Subscriber,1974.0,Male
1688,Subscriber,1970.0,Male
1938,Subscriber,1994.0,Male
745,Subscriber,1992.0,Male
1864,Subscriber,1993.0,Male
791,Subscriber,1995.0,Male
674,Subscriber,1975.0,Male
1817,Subscriber,1991.0,Male
2677,Subscriber,1997.0,Male
2475,Subscriber,1980.0,Male
3405,Customer,1984.0,Male
1955,Customer,1991.0,Male
2735,Subscriber,1984.0,Male
54,Subscriber,1990.0,Male
1285,Subscriber,1973.0,Male
1431,Subscriber,1985.0,Male
3690,Subscriber,1972.0,Female
954,Customer,,
3139,Subscriber,1999.0,Male
2904,Subscriber,1974.0,Male
3717,Subscriber,1986.0,Female
1112,Subscriber,1995.0,Male
2600,Subscriber,1989.0,Male
3189,Subscriber,1979.0,Male
2856,Subscriber,1998.0,Male
2225,Subscriber,1991.0,Male
1945,Subscriber,1988.0,Male
627,Subscriber,1987.0,Male
3928,Subscriber,1995.0,Male
929,Subscriber,1992.0,Female
2057,Subscriber,1986.0,Male
2008,Customer,1987.0,Male
1155,Subscriber,1987.0,Male
2609,Customer,1987.0,Female
3536,Customer,,
1710,Customer,,
2323,Subscriber,1991.0,Male
614,Subscriber,1984.0,Male
3809,Subscriber,1974.0,Male
4065,Subscriber,1991.0,Male
566,Subscriber,1959.0,Male
313,Subscriber,1994.0,Female
709,Subscriber,1990.0,Male
511,Customer,1983.0,Male
1665,Subscriber,1992.0,Male
822,Subscriber,1995.0,Male
2725,Customer,1971.0,Male
987,Subscriber,1975.0,Male
824,Customer,,
3491,Subscriber,1966.0,Male
2426,Subscriber,1996.0,Male
2584,Subscriber,1991.0,Female
1682,Customer,1978.0,Male
3402,Subscriber,1994.0,Male
1216,Subscriber,,
3599,Customer,1995.0,Male
630,Subscriber,1990.0,Male
2831,Subscriber,1962.0,Male
2340,Subscriber,1975.0,Male
691,Subscriber,1981.0,Male
1814,Subscriber,1990.0,Other
1948,Customer,1975.0,Male
527,Subscriber,1979.0,Male
2195,Customer,1989.0,Male
757,Subscriber,1989.0,Male
141,Customer,1994.0,Female
3148,Subscriber,1987.0,Female
2376,Subscriber,1996.0,Male
1637,Subscriber,1998.0,Male
1698,Subscriber,1976.0,Male
193,Subscriber,1973.0,Male
3390,Subscriber,1977.0,Male
3090,Subscriber,1987.0,Male
1143,Subscriber,1989.0,Other
1735,Customer,,
1307,Subscriber,1994.0,Female
510,Customer,,
560,Subscriber,1981.0,Female
1910,Subscriber,1986.0,Male
644,Subscriber,1993.0,Male
972,Subscriber,1993.0,Male
3869,Subscriber,2000.0,Male
2160,Subscriber,1995.0,Male
3783,Subscriber,1999.0,Male
682,Subscriber,1987.0,Female
1667,Subscriber,1994.0,Male
1600,Subscriber,1992.0,Female
1809,Customer,1985.0,Male
3295,Subscriber,1992.0,Male
1745,Subscriber,1989.0,Female
1855,Customer,,
2413,Subscriber,1996.0,Male
3071,Subscriber,1986.0,Female
2794,Subscriber,1975.0,Male
3517,Subscriber,1958.0,Male
834,Subscriber,1993.0,Male
1385,Subscriber,1979.0,Female
468,Subscriber,1988.0,Male
353,Subscriber,1977.0,Male
3652,Subscriber,1989.0,Male
3500,Subscriber,1994.0,Male
126,Customer,1994.0,Male
1807,Subscriber,1979.0,Male
79,Subscriber,1987.0,Female
3360,Subscriber,1989.0,Male
3061,Subscriber,1989.0,Male
50,Subscriber,1978.0,Female
439,Subscriber,1990.0,Male
2560,Customer,,
3543,Customer,1982.0,Male
2167,Subscriber,1975.0,Female
932,Subscriber,1990.0,Other
817,Subscriber,1991.0,Male
232,Subscriber,1981.0,Male
2165,Subscriber,1987.0,Female
2663,Customer,1988.0,Male
49,Subscriber,1980.0,Male
244,Customer,1978.0,Female
3703,Subscriber,1984.0,Male
33,Subscriber,1981.0,Male
2747,Subscriber,1978.0,Female
1978,Customer,,
358,Subscriber,1989.0,Male
2933,Customer,,
1957,Subscriber,1990.0,Male
2548,Subscriber,1993.0,Male
2874,Customer,1956.0,Male
3359,Subscriber,1992.0,Female
2720,Subscriber,1994.0,Male
1714,Customer,1986.0,Female
803,Subscriber,1972.0,Male
3065,Subscriber,1975.0,Male
1009,Customer,,
1753,Customer,,
1458,Subscriber,1995.0,Male
171,Customer,1981.0,Male
1911,Subscriber,1992.0,Male
3074,Subscriber,1979.0,Male
953,Subscriber,1985.0,Female
1988,Subscriber,1988.0,Female
1165,Subscriber,1988.0,Female
2012,Subscriber,1992.0,Male
2655,Customer,1990.0,Male
3292,Customer,1989.0,Male
215,Subscriber,1982.0,Female
263,Subscriber,1978.0,Female
637,Subscriber,1984.0,Male
2148,Subscriber,1986.0,Male
377,Subscriber,1981.0,Male
2193,Subscriber,1989.0,Male
134,Customer,1989.0,Female
2669,Subscriber,1980.0,Male
1604,Subscriber,1987.0,Male
1620,Customer,,
1657,Subscriber,1990.0,Male
750,Subscriber,1986.0,Other
1044,Subscriber,1988.0,Male
3275,Subscriber,1965.0,Male
2762,Customer,1991.0,Female
2319,Subscriber,1991.0,Female
53,Subscriber,1966.0,Male
1360,Subscriber,1988.0,Female
1608,Subscriber,1996.0,Female
3149,Subscriber,1994.0,Male
388,Customer,1986.0,Male
2088,Subscriber,1996.0,Male
3688,Subscriber,1983.0,Female
1158,Customer,,
1417,Subscriber,1987.0,Male
1407,Subscriber,1994.0,Male
4043,Subscriber,1993.0,Male
2698,Subscriber,1989.0,Female
2550,Subscriber,1977.0,Male
3876,Subscriber,1977.0,Male
379,Subscriber,1992.0,Female
486,Subscriber,1989.0,Male
330,Subscriber,1979.0,Male
1936,Subscriber,1987.0,Male
826,Subscriber,1981.0,Male
559,Subscriber,1976.0,Male
966,Subscriber,1971.0,Male
2753,Customer,1989.0,Male
2211,Subscriber,1993.0,Male
3417,Subscriber,1989.0,Male
2683,Subscriber,1992.0,Male
2339,Customer,1990.0,Female
854,Customer,1994.0,Male
649,Subscriber,1983.0,Male
2061,Subscriber,1993.0,Male
684,Customer,1990.0,Male
277,Subscriber,1983.0,Male
562,Customer,1992.0,Male
1299,Subscriber,1990.0,Male
2016,Subscriber,1973.0,Male
3585,Subscriber,1991.0,Male
2392,Subscriber,1987.0,Male
3370,Subscriber,1998.0,Male
261,Subscriber,1990.0,Male
2491,Customer,2000.0,Male
1632,Subscriber,1995.0,Male
3468,Subscriber,1995.0,Male
2424,Subscriber,,
2432,Subscriber,1988.0,Female
22,Subscriber,1993.0,Male
1808,Subscriber,1986.0,Male
287,Subscriber,1985.0,Female
2776,Subscriber,1987.0,Female
512,Subscriber,1988.0,Male
710,Subscriber,1995.0,Male
1222,Subscriber,1995.0,Male
2950,Subscriber,1982.0,Male
3002,Subscriber,1989.0,Male
87,Subscriber,1997.0,Female
418,Customer,1987.0,Male
2796,Subscriber,1992.0,Male
734,Customer,1991.0,Female
1454,Customer,,
1388,Customer,1966.0,Male
1640,Subscriber,1995.0,Male
3587,Subscriber,1998.0,Male
1838,Customer,,
3640,Subscriber,1967.0,Male
2715,Subscriber,1988.0,Male
2417,Subscriber,1993.0,Female
239,Subscriber,1989.0,Male
2478,Subscriber,1991.0,Male
188,Customer,1988.0,Female
720,Customer,1989.0,Female
305,Subscriber,1989.0,Male
2648,Subscriber,1975.0,Male
1139,Subscriber,1995.0,Male
1084,Subscriber,1961.0,Male
1426,Subscriber,1991.0,Male
1208,Subscriber,1982.0,Other
746,Subscriber,1995.0,Female
2764,Subscriber,1993.0,Male
247,Subscriber,1993.0,Male
2929,Subscriber,1986.0,Male
3315,Subscriber,1992.0,Male
3707,Subscriber,1986.0,Male
2678,Subscriber,1995.0,Male
2207,Subscriber,1993.0,Male
1626,Subscriber,1995.0,Male
2243,Subscriber,1989.0,Male
1026,Subscriber,1991.0,Male
1475,Subscriber,1992.0,Male
777,Subscriber,1990.0,Female
2077,Subscriber,1987.0,Female
2734,Subscriber,1987.0,Female
1954,Subscriber,1992.0,Female
3716,Customer,1987.0,Male
3569,Subscriber,1979.0,Male
3396,Subscriber,1985.0,Female
2807,Subscriber,1982.0,Female
2177,Subscriber,1994.0,Male
2324,Subscriber,1989.0,Male
1565,Customer,,
702,Subscriber,1970.0,Female
2500,Subscriber,1997.0,Male
1499,Customer,1987.0,Female
1711,Subscriber,1970.0,Male
2220,Subscriber,1975.0,Male
211,Subscriber,1986.0,Male
3624,Subscriber,1989.0,Male
1939,Subscriber,1977.0,Male
2338,Subscriber,1985.0,Female
2373,Subscriber,1995.0,Male
3665,Subscriber,1987.0,Female
2952,Subscriber,1988.0,Male
2911,Subscriber,1993.0,Male
2564,Customer,1987.0,Female
2197,Subscriber,1996.0,Male
2863,Subscriber,1993.0,Female
3470,Subscriber,1993.0,Male
821,Subscriber,1978.0,Male
1223,Subscriber,1976.0,Male
3126,Subscriber,1985.0,Male
1366,Subscriber,1996.0,Male
2872,Subscriber,1972.0,Female
1197,Customer,1990.0,Male
523,Subscriber,1990.0,Male
3279,Subscriber,1988.0,Male
3176,Customer,1991.0,Male
1035,Subscriber,1982.0,Male
1685,Subscriber,1993.0,Male
2829,Subscriber,1992.0,Male
2651,Subscriber,1946.0,Female
3836,Subscriber,1995.0,Male
218,Customer,1990.0,Female
1985,Customer,1989.0,Male
613,Subscriber,1985.0,Male
200,Customer,1991.0,Female
1202,Subscriber,1986.0,Female
3227,Subscriber,1982.0,Male
1654,Subscriber,1995.0,Male
2505,Subscriber,1977.0,Male
1964,Subscriber,1968.0,Male
2579,Customer,1959.0,Male
103,Subscriber,1983.0,Male
3399,Subscriber,1984.0,Male
541,Subscriber,1983.0,Female
176,Subscriber,1992.0,Male
